"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","PptFall","PptWinter","PptSummer","TempFall","TempWinter","TempSummer","InflYesNo","RowNum","TransectNew.num","Year.num"
10,2013,NA,NA,"E.2","E.2.5",1,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,NA,75,2,10
1,2010,26,4,"E.4","E.4.6",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,76,4,1
2,2020,18,3,"E.4","E.4.6",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,77,4,2
3,2015,26,0,"E.4","E.4.6",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,78,4,3
4,2017,14,0,"E.4","E.4.6",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,79,4,4
5,2004,16,12,"E.4","E.4.6",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,80,4,5
6,2012,18,14,"E.4","E.4.6",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,81,4,6
7,2008,NA,NA,"E.4","E.4.6",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA,82,4,7
1,2010,23,0,"E.1","E.1.7",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,83,1,1
2,2020,14,0,"E.1","E.1.7",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,84,1,2
3,2015,21,0,"E.1","E.1.7",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,85,1,3
4,2017,12,2,"E.1","E.1.7",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,86,1,4
5,2004,17,0,"E.1","E.1.7",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,87,1,5
6,2012,11,29,"E.1","E.1.7",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,88,1,6
7,2008,15,19,"E.1","E.1.7",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,89,1,7
8,2004,18,0,"E.1","E.1.7",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,90,1,8
9,2005,19,6,"E.1","E.1.7",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,91,1,9
10,2013,15,2,"E.1","E.1.7",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,92,1,10
11,2003,NA,NA,"E.1","E.1.7",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,93,1,11
12,2012,15,8,"E.1","E.1.7",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,94,1,12
13,2004,NA,NA,"E.1","E.1.7",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,95,1,13
14,2013,14,11,"E.1","E.1.7",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,96,1,14
15,2010,NA,NA,"E.1","E.1.7",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,97,1,15
16,2018,11,0,"E.1","E.1.7",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,0,98,1,16
17,2003,NA,NA,"E.1","E.1.7",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,99,1,17
18,2005,19,0,"E.1","E.1.7",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,0,100,1,18
19,2014,NA,NA,"E.1","E.1.7",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,101,1,19
20,2020,17,4,"E.1","E.1.7",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,102,1,20
1,2010,5,0,"W.3","W.3.8",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,103,10,1
2,2020,10,0,"W.3","W.3.8",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,104,10,2
3,2015,9,1,"W.3","W.3.8",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,105,10,3
4,2017,5,0,"W.3","W.3.8",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,106,10,4
5,2004,5,6,"W.3","W.3.8",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,107,10,5
6,2012,9,1,"W.3","W.3.8",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,108,10,6
7,2008,6,0,"W.3","W.3.8",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,0,109,10,7
8,2004,NA,NA,"W.3","W.3.8",1,0,0,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,110,10,8
1,2010,6,0,"W.5","W.5.9",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,111,12,1
2,2020,5,2,"W.5","W.5.9",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,112,12,2
3,2015,14,0,"W.5","W.5.9",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,113,12,3
4,2017,6,0,"W.5","W.5.9",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,114,12,4
5,2004,3,1,"W.5","W.5.9",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,115,12,5
6,2012,7,0,"W.5","W.5.9",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,0,116,12,6
7,2008,7,0,"W.5","W.5.9",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,0,117,12,7
8,2004,7,0,"W.5","W.5.9",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,118,12,8
9,2005,8,4,"W.5","W.5.9",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,119,12,9
10,2013,NA,NA,"W.5","W.5.9",1,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,NA,120,12,10
1,2010,26,0,"E.4","E.4.10",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,121,4,1
2,2020,16,3,"E.4","E.4.10",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,122,4,2
3,2015,25,3,"E.4","E.4.10",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,123,4,3
4,2017,10,3,"E.4","E.4.10",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,124,4,4
5,2004,14,18,"E.4","E.4.10",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,125,4,5
6,2012,9,0,"E.4","E.4.10",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,0,126,4,6
7,2008,18,11,"E.4","E.4.10",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,127,4,7
8,2004,14,2,"E.4","E.4.10",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,128,4,8
9,2005,19,0,"E.4","E.4.10",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,0,129,4,9
10,2013,15,9,"E.4","E.4.10",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,130,4,10
11,2003,NA,NA,"E.4","E.4.10",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,131,4,11
12,2012,17,20,"E.4","E.4.10",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,132,4,12
13,2004,NA,NA,"E.4","E.4.10",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,133,4,13
14,2013,17,14,"E.4","E.4.10",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,134,4,14
15,2010,NA,NA,"E.4","E.4.10",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,135,4,15
16,2018,12,0,"E.4","E.4.10",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,0,136,4,16
17,2003,NA,NA,"E.4","E.4.10",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,137,4,17
18,2005,24,2,"E.4","E.4.10",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,138,4,18
19,2014,NA,NA,"E.4","E.4.10",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,139,4,19
20,2020,18,1,"E.4","E.4.10",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,140,4,20
1,2010,34,0,"E.6","E.6.11",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,141,6,1
2,2020,25,0,"E.6","E.6.11",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,142,6,2
3,2015,37,9,"E.6","E.6.11",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,143,6,3
4,2017,16,0,"E.6","E.6.11",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,144,6,4
5,2004,23,7,"E.6","E.6.11",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,145,6,5
6,2012,20,21,"E.6","E.6.11",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,146,6,6
7,2008,28,13,"E.6","E.6.11",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,147,6,7
8,2004,22,0,"E.6","E.6.11",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,148,6,8
9,2005,31,0,"E.6","E.6.11",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,0,149,6,9
10,2013,NA,NA,"E.6","E.6.11",1,0,0,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,NA,150,6,10
1,2010,36,9,"E.6","E.6.12",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,151,6,1
2,2020,27,0,"E.6","E.6.12",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,152,6,2
3,2015,34,0,"E.6","E.6.12",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,153,6,3
4,2017,NA,NA,"E.6","E.6.12",1,0,0,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,NA,154,6,4
1,2010,33,0,"E.3","E.3.13",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,155,3,1
2,2020,NA,NA,"E.3","E.3.13",1,0,0,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,NA,156,3,2
1,2010,1,0,"E.5","E.5.14",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,157,5,1
2,2020,NA,NA,"E.5","E.5.14",1,0,0,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,NA,158,5,2
1,2010,24,1,"E.2","E.2.15",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,159,2,1
2,2020,18,0,"E.2","E.2.15",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,160,2,2
3,2015,25,12,"E.2","E.2.15",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,161,2,3
4,2017,14,29,"E.2","E.2.15",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,162,2,4
5,2004,11,1,"E.2","E.2.15",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,163,2,5
6,2012,15,12,"E.2","E.2.15",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,164,2,6
7,2008,21,12,"E.2","E.2.15",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,165,2,7
8,2004,12,0,"E.2","E.2.15",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,166,2,8
9,2005,18,2,"E.2","E.2.15",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,167,2,9
10,2013,11,12,"E.2","E.2.15",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,168,2,10
11,2003,NA,NA,"E.2","E.2.15",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,169,2,11
12,2012,12,10,"E.2","E.2.15",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,170,2,12
13,2004,NA,NA,"E.2","E.2.15",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,171,2,13
14,2013,14,9,"E.2","E.2.15",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,172,2,14
15,2010,NA,NA,"E.2","E.2.15",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,173,2,15
16,2018,12,5,"E.2","E.2.15",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1,174,2,16
17,2003,NA,NA,"E.2","E.2.15",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,175,2,17
18,2005,20,5,"E.2","E.2.15",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,176,2,18
19,2014,NA,NA,"E.2","E.2.15",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,177,2,19
20,2020,13,4,"E.2","E.2.15",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,178,2,20
1,2010,51,2,"W.4","W.4.16",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,179,11,1
2,2020,30,3,"W.4","W.4.16",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,180,11,2
3,2015,45,28,"W.4","W.4.16",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,181,11,3
4,2017,24,20,"W.4","W.4.16",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,182,11,4
5,2004,29,13,"W.4","W.4.16",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,183,11,5
6,2012,28,38,"W.4","W.4.16",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,184,11,6
7,2008,36,6,"W.4","W.4.16",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,185,11,7
8,2004,30,0,"W.4","W.4.16",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,186,11,8
9,2005,44,18,"W.4","W.4.16",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,187,11,9
10,2013,27,14,"W.4","W.4.16",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,188,11,10
11,2003,NA,NA,"W.4","W.4.16",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,189,11,11
